"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.agent_turn_0","Input.option_idx_list","Input.option_list","Input.option_prob_list","Input.user_turn_0","Input.user_turn_1","Answer.comments","Answer.manual_entry","Answer.radio-input","Turkle.Username"
"737797","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30968","52","Thu Oct 20 18:32:12 UTC 2022","Thu Oct 20 18:32:22 UTC 2022","10"," I did n't find any other events . ","[0, 1, 2, 5, 8, 9]","[""Where is my Climbing session 1?"", ""Where is my Climbing session?"", ""Where is my Climbing session __User"", ""Where is the Climbing session again?"", ""Where is my Climbing session at 1 pm?"", ""Where is the Climbing session 1 at that month?""]","[""33.00"", ""0.12"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," I do nt have anything else there right ? "," Where is my Climbing session 1 again ? ","","","1","esteng"
"737798","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30969","52","Thu Oct 20 18:32:22 UTC 2022","Thu Oct 20 18:32:34 UTC 2022","12"," Does one of these work ? ","[0, 1, 2, 3, 5, 6, 7, 9]","[""No, I need something later in the morning."", ""I like the earlier one."", ""fix the second one"", ""No, none of those work."", ""What about late morning?"", ""No, I need something in the morning."", ""No, I need something later in the afternoon."", ""Can we make it a little earlier in the morning?""]","[""35.38"", ""0.10"", ""0.08"", ""0.06"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," On second thought I 'm going to need it scheduled a little bit earlier . "," No later in the morning ","","","1","esteng"
"737799","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30970","52","Thu Oct 20 18:32:34 UTC 2022","Thu Oct 20 18:32:42 UTC 2022","8","","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[""What is on my calendar for today?"", ""What events do I have scheduled?"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""What is today's date?"", ""What do I have later today?"", ""What day is it?"", ""can you explained the meeting"", ""What's going on right now?"", ""What did I have earlier today?""]","[""30.10"", ""7.99"", ""0.09"", ""0.02"", ""0.03"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]",""," I keep forgetting things , so show my day ","","","1","esteng"
"737800","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30971","52","Thu Oct 20 18:32:42 UTC 2022","Thu Oct 20 18:32:56 UTC 2022","14"," I 've put that on your calendar . ","[0, 3, 4, 6, 7, 8]","[""I need a lunch before 2 pm Friday"", ""I need a meeting before 2 pm Friday"", ""I need to have a lunch before 2 pm Friday"", ""I need a lunch after 2 pm Friday"", ""Can you schedule lunch between 2 and 2:30 pm on Friday?"", ""Can you schedule lunch for Friday after that around 2 pm?""]","[""32.98"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," first one is good "," I will need another appointment on Friday for lunch sometime before 2 ","","","1","esteng"
"737801","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30972","52","Thu Oct 20 18:32:56 UTC 2022","Thu Oct 20 18:33:07 UTC 2022","11"," I have declined it . I will decline "" Afterparty "" and send a response to the organizer with the following comment : "" I 'm still at work "" . Is that ok ? ","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[""Yes, that's good. Decline my RoundUp for next week."", ""Decline the RoundUp next week"", ""can you decline the RoundUp"", ""Yes, that's good. Decline my RoundUp and say that I'm sick."", ""Yes, that's good. Decline my RoundUp for next week"", ""Yes, that's good. Decline RoundUp day next week"", ""Yes, that's good. Decline RoundUp next week as well."", ""Yes, that's good. Decline RoundUp next week"", ""Yes, thank you. Decline my RoundUp for next week and say that I will be out of town.""]","[""46.09"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," yes . Now I would like to decline the afterparty and say that I 'm still at work "," Ok Perfect , then could you decline the RoundUp for next week . ","","","1","esteng"
"737802","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30973","52","Thu Oct 20 18:33:07 UTC 2022","Thu Oct 20 18:33:21 UTC 2022","14","","[0, 1, 2, 5, 9]","[""Add Shelley to the Advisory Board Meeting on Monday."", ""Can you add Shelley to Monday's Advisory Board Meeting?"", ""Put on calendar Advisory Board Meeting with Shelley on Monday."", ""Add Shelley to the Advisory Board Meeting"", ""Add Shelley to Monday's Advisory Board Meeting.""]","[""41.03"", ""0.01"", ""0.00"", ""0.00"", ""0.00""]",""," Can you put Shelley on the schedule for Monday 's Advisory Board Meeting ? ","","","1","esteng"
"737803","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30974","52","Thu Oct 20 18:33:21 UTC 2022","Thu Oct 20 18:33:53 UTC 2022","32"," Is this good ? ","[0, 1, 2, 3, 6, 7, 9]","[""Actually make it next month."", ""Have training last all day the next day."", ""I meant training next month."", ""What do I have next month?"", ""Actually change it to next month."", ""Actually move it to next month."", ""postpone training to the next month""]","[""48.55"", ""0.16"", ""0.06"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," Add training to the 10 th from 4 : 00 pm until 6 : 00 pm . "," how about next month ? ","","","1","esteng"
"737804","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30975","52","Thu Oct 20 18:33:53 UTC 2022","Thu Oct 20 18:34:43 UTC 2022","50","","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[""I need to cancel all my meetings for tomorrow."", ""Can you tell me when my doctors appointment is and what time it is?"", ""When is my appointment with Batman?"", ""Can you tell me when my appointment with Batman will be?"", ""Can you tell me any upcoming events I have with Batman?"", ""Can you tell me where my appointment with Batman will be?"", ""Can you tell me where and when my appointment with Batman will be?"", ""Can you tell me the location of my appointment with Batman?"", ""Can you tell me where my appointment with Batman is?""]","[""48.14"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]",""," Can you tell me where and when my appointment with Batman will be ? ","","Can you tell me the location and time of my appointment with Batman ","7","esteng"
"737805","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30976","52","Thu Oct 20 18:34:43 UTC 2022","Thu Oct 20 18:34:53 UTC 2022","10"," I 've put that on your calendar . ","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[""When is Easter this year?"", ""When is Easter Monday this year?"", ""When is Easter Monday?"", ""When is Easter?"", ""When is Flag Day this year?"", ""When is New Years Eve this year?"", ""when is chrismas"", ""When is Thanksgiving this year?"", ""What day of the week is Easter this year?""]","[""47.84"", ""0.13"", ""0.03"", ""0.01"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," That 's good . "," What date is Easter Sunday this year ? ","","","1","esteng"
"737806","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30977","52","Thu Oct 20 18:34:53 UTC 2022","Thu Oct 20 18:35:01 UTC 2022","8"," I found one other event on your calendar . It 's "" Coffee House "" on December 1 st from 10 : 00 to 10 : 30 AM . ","[0, 1, 2, 3, 9]","[""What about the next day?"", ""Anything the next day?"", ""What do I have the day after that?"", ""What do I have the next day?"", ""What about the day after?""]","[""42.97"", ""0.01"", ""0.00"", ""0.00"", ""0.00""]"," Anything else on that day ? "," What about the next day ? ","","","1","esteng"
"737807","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30978","52","Thu Oct 20 18:35:01 UTC 2022","Thu Oct 20 18:35:21 UTC 2022","20"," Here 's what I found : ","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[""please update my calender"", ""what can you help me with"", ""what is my chat id"", ""ok"", ""what is currently on my calendar?"", ""hi"", ""Add an event to my calendar"", ""add something to my calendar"", ""Can you update that?""]","[""41.01"", ""27.34"", ""7.19"", ""0.06"", ""0.04"", ""0.02"", ""5.78"", ""0.00"", ""0.00""]"," what is currently on my schedule "," can i schedule something ","","","7","esteng"
"737808","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30979","52","Thu Oct 20 18:35:21 UTC 2022","Thu Oct 20 18:35:37 UTC 2022","16"," Yes , I found 1 event with Amy Miller today . It 's "" Date Night "" from 7 : 00 to 9 : 00 PM . ","[0, 1, 2, 3, 4, 9]","[""Change the time to 8pm"", ""can you change the meeting time"", ""Change the time to 8am"", ""Can you change that to be around 8 pm?"", ""Can you change that to be around 8 am?"", ""Can you change the time to 8pm?""]","[""46.24"", ""0.08"", ""1.09"", ""0.00"", ""0.00"", ""0.00""]"," Do I see Amy today ? "," Can you change the time to 8 ? ","","","1","esteng"
"737809","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30980","52","Thu Oct 20 18:35:37 UTC 2022","Thu Oct 20 18:36:02 UTC 2022","25"," I did n't find any events this weekend . ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""How do I create an event?"", ""update my calender"", ""Yes that looks right."", ""Can you create an event?"", ""Are you sure? Please check one more time."", ""what is the event?"", ""Let's put that on the calendar."", ""add that"", ""that put on my calender"", ""put appointment that my""]","[""42.88"", ""7.94"", ""3.96"", ""2.39"", ""0.03"", ""0.02"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," what events are this weekend ? "," Nevermind , just put that on my calendar ","","","3","esteng"
"737810","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30981","52","Thu Oct 20 18:36:02 UTC 2022","Thu Oct 20 18:36:16 UTC 2022","14"," Here 's what I found : ","[0, 1, 3, 8]","[""Do I have anything the next day?"", ""How about the day after?"", ""How about the next day?"", ""Do I have anything the day after that?""]","[""43.45"", ""0.00"", ""0.00"", ""0.00""]"," Hi , what meetings do I have scheduled for tomorrow ? "," Is there something the next day ? ","","","1","esteng"
"737811","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30982","52","Thu Oct 20 18:36:16 UTC 2022","Thu Oct 20 18:36:25 UTC 2022","9"," Let me know if there 's anything else I can help you with . ","[0, 2, 3, 6, 7, 8]","[""When was my last meeting with bob?"", ""When was the last time I saw bob?"", ""Can you find the last time I met with bob?"", ""When is my last meeting with bob today?"", ""When was my meeting with bob?"", ""When is my last meeting with bob that day?""]","[""59.51"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," good deal "," I need to find when I last met with bob . ","","","1","esteng"
"737812","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30983","52","Thu Oct 20 18:36:25 UTC 2022","Thu Oct 20 18:36:35 UTC 2022","10"," Yes , I found one event with Tasha next week . It 's "" Lunch near Lake T "" on Wednesday the 30 th from 12 : 30 to 1 : 30 PM . ","[0, 1, 2, 3, 5, 6, 8, 9]","[""Do I have a play later this week?"", ""Do I have a meeting with Tasha next week at all?"", ""Do I have a play later next week?"", ""Do I have a play this week?"", ""What about the play later this week?"", ""Do I have a play later in the afternoon?"", ""Do I have a play later in the week?"", ""Am I going to play a play later this week?""]","[""54.47"", ""0.12"", ""0.16"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," Do I meet with Tasha next week ? "," Is there a play later this week ? ","","","1","esteng"
"737813","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30984","52","Thu Oct 20 18:36:35 UTC 2022","Thu Oct 20 18:36:53 UTC 2022","18","","[0, 1, 2]","[""How old are you?"", ""How many days do I have completely free next month?"", ""Can you tell me the weather for tomorrow in Greenville, NC?""]","[""52.46"", ""18.28"", ""15.69""]",""," How long have a blocked out for my doctor 's appointment ? ","","How long is my doctor's appointment?","","esteng"
"737814","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30985","52","Thu Oct 20 18:36:53 UTC 2022","Thu Oct 20 18:37:00 UTC 2022","7"," I 've put that on your calendar . ","[0, 2, 3, 4, 7, 8]","[""when is my OBGYN appointment?"", ""Can you search for an OBGYN appointment?"", ""Can you find my OBGYN appointment?"", ""Can you show me my appointment with the OBGYN?"", ""when is my OBGYN Meeting?"", ""What time is my OBGYN appointment?""]","[""53.35"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," Yes , perfect "," When is my OBGYN appointment ? ","","","1","esteng"
"737815","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30986","52","Thu Oct 20 18:37:00 UTC 2022","Thu Oct 20 18:37:11 UTC 2022","11","","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""create meeting in room 23 on monday at 12"", ""create meeting on monday at 12 in room 23"", ""Book conference room 23 for Monday at 12pm."", ""create meeting in room on monday at 12"", ""Make a meeting called Team on Monday at 12:00 pm in room 23."", ""Create an event called \""Meeting\"" on Monday at 12:00 pm in room 23."", ""I need to book a room on Monday at 12:00 pm for room 23"", ""create meeting on room in room 23 on monday at 12"", ""create meeting in 23 on monday at 12"", ""create meeting in on monday at 12 in room 23""]","[""51.74"", ""0.40"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]",""," Create meeting in room 23 on monday at 12 ","","","1","esteng"
"737816","997","TestCalibrationHit","Thu Oct 20 18:20:57 UTC 2022","1","86400","30987","52","Thu Oct 20 18:37:11 UTC 2022","Thu Oct 20 18:37:34 UTC 2022","23"," Is this good ? ","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[""Reschedule that meeting to the following Monday."", ""Reschedule the meeting to the following Monday."", ""Reschedule that please"", ""Can you change it to next Monday instead?"", ""No, it should be on Monday."", ""Reschedule it for the following Monday."", ""No, move it to the following Monday."", ""No, it should be on Monday of that week."", ""Can you move it to the next day?""]","[""56.14"", ""0.02"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00"", ""0.00""]"," Good have that I have a meeting at 11 that day . "," Yes but reschedule it for the following Monday instead . ","","","1","esteng"
