</s><s> | Can you change the location to conference room b?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | defer the next meeting with William</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | defer the next meeting with Dawson</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Please select the second one.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I want the second one.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes. Also invite Jaime to Softball meeting.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes. Also add Jaime to Softball meeting.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes. Also add Jaime to the Softball meeting.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes. Also add Jaime to my Softball meeting.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes. Also add Jaime to my Softball meeting</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes. Also add Jaime to the Softball meeting</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes. Also add Jaime to Softball meeting</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes. Also invite Jaime to Softball meeting</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes. Please also invite Jaime to Softball meeting.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Great. Also add Jaime to the Softball meeting.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | the first one. And schedule workout for that day</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one. And schedule workout for that day</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | the first one. And add workout that day</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | yes the first one. And add workout that day</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | first one. And workout that day</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one. And schedule workout for that day.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | the first one. And schedule workout that day</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one. And schedule a workout for that day</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one. And schedule a workout that day</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one. And schedule a workout that same day</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Joe won't be at the cruise planning, but Rachel and Danny will be.</s><pad><pad><pad><pad><pad>
</s><s> | Joe can't make it to the cruise planning, but Rachel and Danny said they would be there.</s><pad>
</s><s> | Joe won't be at the cruise planning, but Rachel and Danny will be, please update.</s><pad><pad>
</s><s> | Joe won't be at the cruise planning, but Rachel and Danny said they would be there.</s><pad><pad>
</s><s> | Joe won't be able to make it to the cruise planning, but Rachel and Danny will be there.</s>
</s><s> | Joe can't make it to the cruise planning, but Rachel and Danny will be there instead.</s><pad><pad>
</s><s> | Joe can't make it to cruise planning, but Rachel and Danny said they would be there.</s><pad><pad>
</s><s> | Joe can't make it to the cruise planning, but Rachel and Danny will be there.</s><pad><pad><pad>
</s><s> | Joe won't be able to make it to the cruise planning, but Rachel and Danny will be coming.</s>
</s><s> | Joe can't make it to the cruise planning, but Rachel and Danny can.</s><pad><pad><pad><pad><pad>
</s><s> | The 1st one works.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | First one is look good</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | first one looks good</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | First one is good.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one works.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one looks good.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first option.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one looks good</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first option works best.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one works best.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | i need to know if kim is free in may</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | wait i need to know if kim is free in May</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | i need to know if kim is free in May</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | wait i need to know if kim is free in may</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | wait i need to see if kim is free in May</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | i need to find out if kim is free in May</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | wait i need to see if kim is free in may</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | wait i need to check if kim is free in May</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | wait i need to check whether kim is free in May</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | wait i need to check if kim is free in may</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Move my meeting tomorrow to an hour after my meeting with David.</s><pad>
</s><s> | Move my meeting tomorrow to one hour after my meeting with David.</s><pad>
</s><s> | Move tomorrow's meeting one hour after my meeting with David.</s><pad><pad>
</s><s> | Move tomorrow's meeting to an hour after my meeting with David.</s><pad>
</s><s> | Move my appointment tomorrow to an hour after my meeting with David.</s><pad>
</s><s> | Move the meeting tomorrow to an hour after my meeting with David.</s><pad>
</s><s> | Move my meeting tomorrow to an hour after my meeting with David</s><pad><pad>
</s><s> | Move tomorrow's meeting an hour after my meeting with David.</s><pad><pad>
</s><s> | Move the meeting tomorrow to an hour after the meeting with David.</s><pad>
</s><s> | Move my meeting tomorrow to an hour after my meeting with David?</s><pad>
</s><s> | Sorry I meant Madison.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Oh, I meant Madison.</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What about Madison?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | How about Madison?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Sorry, I meant Madison.</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | No, I meant Madison.</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I meant Madison.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | And Madison?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Sorry I meant Madison</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Invite Madison instead.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | fix the first one</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | first one</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | select first one</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | first one looks good</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one works.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one please.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | the first one</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one works well</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one works better</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | when is my dr appt this week?</s><pad><pad><pad><pad><pad>
</s><s> | when is my dr appt this week</s><pad><pad><pad><pad><pad><pad>
</s><s> | When is my dr appt this week?</s><pad><pad><pad><pad><pad>
</s><s> | what day is my dr appt this week?</s><pad><pad><pad><pad>
</s><s> | when is my dr appt this week?</s><pad><pad><pad><pad><pad>
</s><s> | when is my doctors appt this week?</s><pad><pad><pad><pad><pad>
</s><s> | can you search for my dr appt this week</s><pad><pad><pad><pad>
</s><s> | when do i have my dr appt this week</s><pad><pad><pad><pad>
</s><s> | when do i have drs appt this week</s><pad><pad><pad><pad>
</s><s> | what day is my dr appt this week?</s><pad><pad><pad><pad>
</s><s> | Thank you very much</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | ok thank you</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | thanks for your help</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | thanks im done now</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | ok</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Ok thank you</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Okay, thank you</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Thank you!</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | good</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Thank you</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you change the location of the staff meeting to Conference Room B?</s>
</s><s> | Can you change the location of the staff meeting to Conference Room A?</s>
</s><s> | Change the location of the staff meeting to Conference Room B.</s><pad><pad>
</s><s> | Can you change the location of my meeting tomorrow to Conference Room A?</s>
</s><s> | No, I want it to take place in Conference Room A.</s><pad>
</s><s> | No, I want it to take place in Conference Room B.</s><pad>
</s><s> | Can you change the location of my meeting tomorrow to Conference Room B?</s>
</s><s> | Can you change the location to Conference Room A?</s><pad><pad><pad><pad>
</s><s> | Change the location of the staff meeting to Conference Room A.</s><pad><pad>
</s><s> | Change the location to Conference Room A.</s><pad><pad><pad><pad><pad><pad>
</s><s> | please update my all events in my calender</s><pad><pad><pad><pad><pad>
</s><s> | cancel the today events on calender</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | please update my all events at my calender</s><pad><pad><pad><pad><pad>
</s><s> | Can you delete my meetings on Friday?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Can you cancel all events for tomorrow?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Can you cancel all my meetings on Friday?</s><pad><pad><pad><pad><pad>
</s><s> | please update my all events</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you cancel all my meetings for tomorrow?</s><pad><pad><pad><pad><pad>
</s><s> | Can you cancel all events for tomorrow</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | please update my all events in my calander</s><pad><pad><pad><pad><pad>
</s><s> | Hello</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | hello</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Hi</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | hi</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | ok</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | hai</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Hello!</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | OK</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Hello?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Hi!</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When is the next Thanksgiving?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When is my next Thanksgiving event?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Search for my next Thanksgiving event.</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When is my next Thanksgiving?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When is the next Thanksgiving event?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Search for the next Thanksgiving event.</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When is the next Thanksgiving</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When's the next Thanksgiving?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you find the next Thanksgiving?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When is Thanksgiving next</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What is on my calendar for this morning?</s><pad><pad><pad><pad><pad>
</s><s> | What do I have scheduled for this morning?</s><pad><pad><pad><pad><pad>
</s><s> | What is on my calendar this morning?</s><pad><pad><pad><pad><pad><pad>
</s><s> | What do I have this morning?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What's on my calendar this morning?</s><pad><pad><pad><pad><pad><pad>
</s><s> | What's on my calendar for this morning?</s><pad><pad><pad><pad><pad>
</s><s> | What do I have scheduled this morning?</s><pad><pad><pad><pad><pad><pad>
</s><s> | What events do I have this morning?</s><pad><pad><pad><pad><pad><pad>
</s><s> | What is on my schedule this morning?</s><pad><pad><pad><pad><pad><pad>
</s><s> | What does my morning look like?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What do I have going on next week in Cheryl's office?</s><pad>
</s><s> | What do I have going on in Cheryl's office next week?</s><pad>
</s><s> | What do I have scheduled in Cheryl's office next week?</s><pad><pad>
</s><s> | What do I have in Cheryl's office next week?</s><pad><pad><pad>
</s><s> | What do I have scheduled for next week in Cheryl's office?</s><pad>
</s><s> | What do I have scheduled next week in Cheryl's office?</s><pad><pad>
</s><s> | What events are in Cheryl's office next week?</s><pad><pad><pad><pad>
</s><s> | What events do I have in Cheryl's office next week?</s><pad><pad>
</s><s> | What do I have scheduled at Cheryl's office next week?</s><pad><pad>
</s><s> | What do I have going on next week in Cheryl's office</s><pad><pad>
</s><s> | Change my meeting with Emily today from 3 pm to 4 pm.</s><pad>
</s><s> | Change my meeting with Emily today from 3pm to 4pm.</s><pad>
</s><s> | Change my meeting with Emily today from 3 pm to 4 pm</s><pad><pad>
</s><s> | Update my meeting with Emily today from 3 pm to 4 pm.</s><pad>
</s><s> | Change my meeting with Emily today from 3pm to 4pm</s><pad><pad>
</s><s> | Update my meeting with Emily today from 3 pm to 4 pm</s><pad><pad>
</s><s> | Change my meeting with Emily today from 3 to 4.</s><pad><pad><pad>
</s><s> | Change my meeting with Emily today from 3 to 4</s><pad><pad><pad><pad>
</s><s> | Change my meeting with Emily from 3 to 4 today.</s><pad><pad><pad>
</s><s> | Please change my meeting with Emily today from 3 pm to 4 pm</s><pad>
</s><s> | Am I free Saturday night?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Am I free this Saturday night?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Am I free on Saturday night?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Am I free on this Saturday night?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Am I free next Saturday night?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Do I have free time on Saturday night?</s><pad><pad><pad><pad><pad>
</s><s> | Do I have free time this Saturday night?</s><pad><pad><pad><pad><pad>
</s><s> | Am I free saturday night?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Do I have any free time Saturday night?</s><pad><pad><pad><pad><pad>
</s><s> | Am i free Saturday night?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Let's do the one on the 5th</s><pad><pad><pad><pad><pad>
</s><s> | The one on the 5th</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The one on the 5th will work.</s><pad><pad><pad><pad><pad>
</s><s> | The one on the 5th works.</s><pad><pad><pad><pad><pad><pad>
</s><s> | The one on the 5th works best.</s><pad><pad><pad><pad><pad>
</s><s> | I'll take the one on the 5th</s><pad><pad><pad><pad><pad>
</s><s> | Let's go with the one on the fifth</s><pad><pad><pad><pad><pad>
</s><s> | Let's do the one on the fifth.</s><pad><pad><pad><pad><pad>
</s><s> | The one on the 5th works</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The one on the 5th please</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What do I have going on Sunday between 7 pm and 9 pm?</s>
</s><s> | What do I have going on Sunday between 7 and 9 pm?</s><pad>
</s><s> | Can you find any meetings scheduled between 7 and 9 pm next Sunday?</s>
</s><s> | What do I have on Sunday between 7 pm and 9 pm?</s><pad>
</s><s> | What is going on Sunday between 7 pm and 9 pm?</s><pad><pad>
</s><s> | What do I have between 7 pm and 9 pm next Sunday?</s><pad>
</s><s> | What do I have planned between 7 pm and 9 pm on Sunday?</s>
</s><s> | What do I have going on between 7 and 9 pm next Sunday?</s>
</s><s> | What do I have planned between 7 pm and 9 pm next Sunday?</s>
</s><s> | What's going on Sunday between 7 and 9 pm?</s><pad><pad><pad>
</s><s> | Did I have a baseball game last Thursday?</s><pad><pad><pad><pad><pad>
</s><s> | Did I attend a baseball game last Thursday?</s><pad><pad><pad><pad><pad>
</s><s> | Did I go to a baseball game last Thursday?</s><pad><pad><pad><pad>
</s><s> | Did I have a baseball game last thursday?</s><pad><pad><pad><pad>
</s><s> | Did I attend a baseball game last thursday?</s><pad><pad><pad><pad>
</s><s> | Did I attend a baseball game this past Thursday?</s><pad><pad><pad><pad>
</s><s> | Did i have a baseball game last thursday?</s><pad><pad><pad><pad>
</s><s> | did i have a baseball game last thursday?</s><pad><pad><pad><pad>
</s><s> | Was I at a baseball game last Thursday?</s><pad><pad><pad><pad><pad>
</s><s> | did i have a baseball game last thursday?</s><pad><pad><pad><pad>
</s><s> | Did I have any meetings last weekend?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When is my next block of free time?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Did I have any meetings last week with anyone from accounting?</s><pad><pad><pad>
</s><s> | Do I have any meetings with anyone from accounting this week?</s><pad><pad><pad>
</s><s> | Did I have any meetings last week with anybody from accounting?</s><pad><pad><pad>
</s><s> | When is my next block of free time on the calendar?</s><pad><pad><pad>
</s><s> | When is my next block of free time on my calendar?</s><pad><pad><pad>
</s><s> | When is my next free afternoon?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When is my next block of free time during the afternoon?</s><pad><pad><pad>
</s><s> | When is my next block of free time during the day?</s><pad><pad><pad>
</s><s> | Yes, please.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes it is.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes, please cancel this.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes, please cancel that.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes, cancel that.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes please cancel.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes, that is correct.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes please.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes, cancel this.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What do I have on January 2nd?</s><pad><pad><pad><pad><pad><pad>
</s><s> | What do I have on January 2?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What do I have scheduled on January 2?</s><pad><pad><pad><pad><pad><pad>
</s><s> | What events do I have January 2nd?</s><pad><pad><pad><pad><pad><pad>
</s><s> | What do I have January 2?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What do I have January 2nd?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What do I have planned on January 2?</s><pad><pad><pad><pad><pad><pad>
</s><s> | What events do I have on January 2?</s><pad><pad><pad><pad><pad><pad>
</s><s> | What events do I have January 2?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What do I have Jan 2?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you find my meeting with Adam Wallen on Friday at 2pm?</s>
</s><s> | Can you find my meeting with Adam Wallen on Friday at 2 PM?</s>
</s><s> | When is my meeting with Adam Wallen on Friday at 2 PM?</s><pad>
</s><s> | Can you find my meeting with Adam Wallen on Friday at 2 pm?</s>
</s><s> | Search for meeting with Adam Wallen on Friday at 2:00 pm.</s>
</s><s> | When is my next meeting with Adam Wallen? Friday at 2pm?</s>
</s><s> | Find my meeting with Adam Wallen on Friday at 2 PM.</s><pad><pad>
</s><s> | Find my meeting with Adam Wallen on Friday at 2pm</s><pad><pad><pad>
</s><s> | Find my meeting with Adam Wallen on Friday at 2 PM</s><pad><pad><pad>
</s><s> | When is my next meeting with Adam Wallen? Friday at 2PM?</s>
</s><s> | It should be a week long</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | It should be a full week.</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | No it should be a week long</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | It's a week long event.</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | It should last a week.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Make it last a week.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you make it a week?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Make it last a week</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Make it a week long instead.</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Make it a week long</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | yes</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | okay</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | ok</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | good</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | add that</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | looks good</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | looks great</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | okay sure</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Sure</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | no</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | No</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | NO</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | No.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Nevermind</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Neither is good</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Neither works.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Neither works</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | nope</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Nope</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | no thanks</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | ok</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | No thanks</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | yes</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | nothing</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | OK</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | done</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | fine</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s></s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I had an easter brunch last year</s><pad><pad><pad><pad><pad>
</s><s> | Can you put that I had an easter brunch last year.</s>
</s><s> | Please put that I went to the easter brunch last year.</s>
</s><s> | i had an easter brunch last year</s><pad><pad><pad><pad><pad>
</s><s> | Can you put that I had an easter brunch last year</s><pad>
</s><s> | I had an easter brunch last year?</s><pad><pad><pad><pad>
</s><s> | Can you put that I had an easter brunch last year?</s>
</s><s> | i had an easter brunch last year?</s><pad><pad><pad><pad>
</s><s> | Can you put that I went to the easter brunch last year</s>
</s><s> | Please put my easter brunch from last year on my calendar.</s>
</s><s> | What do I have next week that's not dance parties?</s><pad>
</s><s> | What events do I have next week that are not dance parties?</s>
</s><s> | What events do I have next week that aren't dance parties?</s>
</s><s> | what do I have next week that's not dance parties?</s><pad>
</s><s> | Do I have anything next week that's not dance parties?</s><pad>
</s><s> | Is there anything next week that's not dance parties?</s><pad><pad>
</s><s> | What do I have next week that isn't dance parties?</s><pad>
</s><s> | what events do I have next week that are not dance parties?</s>
</s><s> | Other than dance parties what else do I have next week?</s><pad>
</s><s> | Anything next week that's not dance parties?</s><pad><pad><pad><pad>
</s><s> | Show me different times.</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Show me different times pleas.</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | fix the second one</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Show me different times pleas</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Show me different times please.</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The first one works well</s><pad><pad><pad><pad><pad><pad><pad><pad>
