user_turn_0,agent_turn_0,user_turn_1,option_list,option_idx_list,option_prob_list
" That looks good , thanks . ", I 've put that on your calendar . , How warm will it be in Cleveland on Monday ? ,"[""How hot will it be in Cleveland on Monday?"", ""What will the temperature be in Cleveland on Monday?"", ""How cold will it be in Cleveland on Monday?"", ""What is the heat index in Cleveland on Monday?"", ""What is the average temperature in Cleveland on Monday?"", ""How warm will it be on Monday in Cleveland?"", ""What is the high going to be in Cleveland on Monday?"", ""How humid will it be in Cleveland on Monday?""]","[0, 1, 2, 3, 4, 5, 7, 8]","[""55"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
" Yes , that 's it . Now please make my hunt start at 6 am "," I 've changed "" breakfast "" to be . Is this the update you want ? ", I meant for you to change my Engines event ,"[""Can you change the time of my hunt?"", ""Actually I meant Engines."", ""Actually I meant Engines event"", ""Change the title to Engines"", ""Actually I meant Engines update"", ""Actually I meant Engines"", ""Actually I meant Engines __User""]","[0, 1, 2, 3, 4, 5, 6]","[""1"", ""29"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Will it be sunny ? , It does n't look like it . The average cloud cover will be 65 % in Houston tomorrow afternoon . , Will it be cold ? ,"[""Will it be cold?""]",[0],"[""96""]"
" Oh , boy , both look great . ", I 've put that on your calendar on Monday the 27 th from 10 : 00 to 10 : 30 AM . , add nails Appointment with week but not the weekend ,"[""Can you make a nails Appointment sometime this week but not on the weekend"", ""Make a nails Appointment but not on the weekend"", ""I need a nails Appointment sometime next week, but not on the weekend"", ""i need an event this week but not on the weekend"", ""I need a nails Appointment later this week, but not on the weekend."", ""Make a nails Appointment for this weekend."", ""I need a nails Appointment late next week, but not on the weekend""]","[0, 1, 2, 3, 4, 6, 9]","[""58"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
,, do I have anything planned for March 2 ? ,"[""Do I have any meetings on March 2?""]",[0],"[""98""]"
 Schedule a meeting with Pam tomorrow at 11 : 00 AM . , Is this good ? , Can you move it to Monday ? ,"[""No, it should be on Monday."", ""No, it should be next Monday."", ""No, change it to Monday."", ""No, move it to the following Monday."", ""Yes, but make it last until Monday."", ""oops i meant next monday"", ""No, I meant the meeting on Monday"", ""Make it for all day Monday instead.""]","[0, 1, 2, 3, 4, 5, 7, 8]","[""31"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 What are the wind speeds like ? , It 's 3 . 93 m / s . , Any storms coming ? ,"[""Is there a storm coming?""]",[0],"[""81""]"
" Looks good , thanks . ", Let me know if there 's anything else I can help you with . , Thank you . Can you check to see if I have anything with Mark this month ? ,"[""What events do I have with Mark this month?"", ""Do I have any meetings with Clinton this week?"", ""Do I have any meetings with Mark this month?"", ""What events do I have this month with Mark?"", ""How many events do I have with Mark this month?"", ""Can you find my meeting with Mark this month?"", ""What meetings did I have with Mark earlier this month?"", ""Do I have any events with Mark this month?"", ""Do I have any other meetings with Mark this month?""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[""50"", ""0"", ""1"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
" Hi , can you put go to the movies Friday night into my calendar ? ", Does one of these work ? , NEverind cancel that ,"[""No""]",[0],"[""100""]"
 the breakfast needs to be 3 hours , How about now ? , Make my conference call on Wednesday one hour . ,"[""Make the conference call on Wednesday 1 hour long."", ""The breakfast needs to be 1 hour"", ""That looks good."", ""The breakfast needs to be 1 hour."", ""I meant the one that lasts 1 hour."", ""The conference call should be for one hour."", ""The conference call on Wednesday needs to be for one hour."", ""Make my conference call on Wednesday 1 hour long.""]","[0, 1, 2, 3, 4, 5, 8, 9]","[""52"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Ok ! , Let me know if there 's anything else I can help you with . , Update the location of Chelsea 's graduation to the Grand Opera House ,"[""Add the location Grand Opera House to Chelsea's graduation."", ""Set the location of Chelsea's graduation to the Grand House House."", ""Add the location of the Grand Opera House."", ""Set the location to the Grand Opera House."", ""Set the location of Chelsea's event to the Grand Opera House."", ""Change Chelsea's graduation to the Grand Opera House instead of the Chelsea Opera."", ""Change Chelsea's graduation to the Grand Opera House instead of Chelsea Opera.""]","[0, 2, 3, 4, 6, 7, 9]","[""16"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 What 's my first meeting Wednesday ? ," The first event tomorrow is "" Appointment "" from 12 : 00 to 12 : 30 PM . ", actually go ahead and make the 2 nd one ,"[""I want the 2nd one."", ""can you change the appointment time"", ""defer the next meeting with Stephen"", ""OK THANK YOU"", ""cancel the appointment and check for dinner plans"", ""And the second meeting?"", ""That looks good."", ""The 2nd one works."", ""I want the 2pm one."", ""The one on the 2nd works.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""60"", ""1"", ""1"", ""0"", ""0"", ""1"", ""0"", ""0"", ""0"", ""0""]"
,, when is my game time date ,"[""When is my game time date?"", ""When is game time?"", ""Can you find my game time date?"", ""When is the game?"", ""Can you search for a game time date?"", ""when is the game time __User"", ""What day is my game time date?""]","[0, 1, 2, 3, 4, 7, 9]","[""37"", ""1"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Looks right . , I 've put that on your calendar . , I will be with my Team in Wichitaiiaiai for all of next week ,"[""I will be with my team all next week at Wichitaiiai"", ""I will be with my team at Wichitaiiai all of next week"", ""I will be at Wichitaiiai all of next week with my team"", ""I will be with my team for Wichitaiiai all of next week"", ""I will be at Wichitaiiai all next week"", ""I will be with my team all next week"", ""I will be with my team all next week for Wichitaiiai"", ""I will be with my Team all of next week""]","[0, 1, 2, 3, 5, 6, 7, 8]","[""40"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 I need to meet with Hugh on Wednesday , Here are some times when you and Hugh are free . , Update my dinner date with Karen to be 3 hours ,"[""Update my dinner date with Karen to be 3 hours long.""]",[0],"[""90""]"
 tell me what day my 2 nd event is , The 2 nd event is on March 20 th at 4 : 00 PM . , What time is my second event on Sunday ,"[""What time is my second event on sunday?"", ""What is my 2nd event on Sunday?"", ""What time does my second event start?"", ""What is the second event?"", ""What time does the second event start?""]","[0, 1, 3, 5, 6]","[""65"", ""0"", ""0"", ""0"", ""0""]"
,," Please , search for Mr. Smith and tell when is the meeting with him . ","[""Please schedule a meeting with the pope tomorrow."", ""I need to change the date of my doctor's appointment"", ""I need to cancel all my meetings for tomorrow."", ""Why didn't Mom come to my birthday party?"", ""When is my meeting with Mr. Smith?"", ""Find my appointment with Mr. Smith.""]","[0, 1, 2, 3, 4, 7]","[""3"", ""1"", ""1"", ""1"", ""36"", ""0""]"
 Make an event for Friday at 3 pm , Is this good ? , Next week ,"[""Move it to next week.""]",[0],"[""89""]"
 Schedule gym time with Mary tomorrow at noon . , Is this good ? , wait a minute ,"[""wait a minute""]",[0],"[""100""]"
 so what 's the weather like today ? , It is clear with a high of 0 . 00 ° F and a low of 0 . 00 ° F today . , what day this week will temperature be the lowest ? ,"[""when will it get coldest this week?"", ""when will it warm up this week?"", ""what day of the week is it coldest?"", ""how cold will it get this week?"", ""what day will be the coldest day this week?"", ""what day will be the coldest this week?""]","[0, 1, 2, 5, 6, 8]","[""1"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Which David is from sales ? , I do n't have that kind of information about people . , When am I meeting with any of Jake 's team next month ? ,"[""When am I meeting with someone on Jake's team next month?""]",[0],"[""75""]"
 I had a doctors appointment on january 5 th , Does one of these work ? , the second one . I had dinner with john yesterday ,"[""The second one. I had dinner with john yesterday""]",[0],"[""90""]"
 yeah thanks . , I 've put that on your calendar . , make that 9 - 10 : 30 ,"[""make that 9-10:30"", ""make that 9-10 am"", ""make that 10-10:30"", ""Nah, just change the time to 9-10:30""]","[0, 4, 5, 7]","[""40"", ""0"", ""0"", ""0""]"
 YES April 8 , I 've put that on your calendar . ," Please invite Paige Ashworth , Cher Roydon , Jerri Skinner , Fiona Mason , Cecelia Waller , Wade Blakeley , Damon Ellery , Karl Boon , Jeong - Ho Kim , Janice Kang , Scot Hanson , Barack Obama , Cornelio Hernandez , Kristen Clifford . ","[""Cancel all my meetings for April 8."", ""WHEN IS MY APPOINTMENT WITH MY LAWYER?"", ""change the appointment date"", ""YES UPDATE THE EVENT ON APRIL 8"", ""Add attendees Scot Hanson, Barack Obama, Cornelio Hernandez, Kristen Clifford"", ""Add attendees Scot Kang, Barack Obama, Cornelio Hernandez, Kristen Clifford"", ""Add attendees Scot Obama, Barack Obama, Cornelio Hernandez, Kristen Clifford"", ""Add attendees Scot Hernandez, Barack Obama, Cornelio Hernandez, Kristen Clifford"", ""I need to schedule a meeting with Scot Hanson, Barack Obama, Cornelio Hernandez, Kristen Clifford"", ""I need to schedule a meeting with Scot Kang, Barack Obama, Cornelio Hernandez, Kristen Clifford""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""29"", ""21"", ""10"", ""3"", ""1"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Schedule a football game for Sunday morning at 10 am . , Is this what you 're looking for ? , Yes it is . What else is happening on Sunday ? ,"[""Yes it is."", ""Yes. What do I have scheduled for Sunday?"", ""Yes. What else do I have scheduled on Sunday?"", ""What else do I have scheduled on Sunday?"", ""Yes. Do I have anything else on Sunday?""]","[0, 1, 2, 6, 8]","[""0"", ""0"", ""0"", ""0"", ""0""]"
,, When are Kim and Elli free next week ? ,"[""Why didn't Mom come to my birthday party?"", ""Can you tell me when my next block of free time is?"", ""When are Kim and Elli free next week?"", ""When are Kim and Elli available next week?"", ""When are Kim and Elli free?"", ""I need a meeting with Kim and Elli next week.""]","[0, 1, 2, 3, 6, 9]","[""1"", ""0"", ""59"", ""0"", ""0"", ""0""]"
 When is the ball this winter ? ," The event "" ball "" between December 1 st and February 29 , 2020 is on December 20 th at 11 : 00 AM . ", Update the Ball on December 20 to be at 7 : 00 pm to 10 : 00 pm . ,"[""Ball on Dec 20 should be from 7 to 10 pm."", ""Ball lasted from 7 pm to 10 pm on December 20."", ""Ball 20 on Dec 21 should be from 7 to 10 pm."", ""Ball on Dec 20 should be moved to 10 pm."", ""Ball should be from 7 to 10 pm."", ""Ball December on Dec 20 should be from 7 to 10 pm."", ""Ball on December 20 should be from 7 to 10 pm."", ""Ball on December 28 should be from 7 pm to 10 pm.""]","[0, 1, 2, 3, 6, 7, 8, 9]","[""46"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Cancel my meeting with my boss next Friday . , Is this what you want me to cancel ? ," Sorry , I meant the one on Saturday . ","[""I meant the one on Saturday."", ""I meant the one next Saturday."", ""What do I have scheduled on Saturday?"", ""Can you find my meeting on Saturday?"", ""I meant the meeting next Saturday."", ""I meant the following Saturday.""]","[0, 1, 2, 3, 5, 9]","[""29"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Can you add jerri skinner and send a reminder ," Sorry , I ca n't do reminders . ", Ok add jerri skinner ,"[""add jerri skinner to the event"", ""add jerri skinner"", ""yes"", ""can you add a meeting with jerri skinner"", ""add jerri"", ""add jerri and jerri skinner to the event""]","[0, 1, 2, 4, 7, 9]","[""46"", ""0"", ""0"", ""0"", ""0"", ""0""]"
,, What do I have earlier today ,"[""What did I have earlier today?""]",[0],"[""76""]"
 Good job . Thank you for your help . ," I 've changed "" job interview "" to be . ", Make the interview next week . ,"[""Move the interview to next week."", ""Can you change the time of my interview?"", ""Make my status Busy for the rest of the week."", ""schedule an interview for next week"", ""Move that to next week please."", ""I meant the interview next week"", ""Reschedule my interview next week"", ""Lunch is pushed back to next week.""]","[0, 1, 2, 3, 4, 7, 8, 9]","[""67"", ""0"", ""0"", ""1"", ""0"", ""0"", ""0"", ""0""]"
 Can you make an event for Monday at 2 pm ? , Is this good ? , Yes . Is there anything scheduled for after that event ? ,"[""Yes. Do I have anything after that?"", ""Do I have anything after that?"", ""Yes, do I have anything after that on Monday?""]","[0, 1, 2]","[""0"", ""0"", ""0""]"
" My manager , Ray Southerland , will join toward the end of the meeting . ", How about now ? , Please add Elli Parker and his skip to the meeting also ,"[""please cancel my all tomorrow meeting"", ""Please add my manager, Ray Southerland, to the meeting."", ""Please add his skip to this meeting as well."", ""Add Elli Parker and her skip to the meeting as well."", ""Add him to the meeting but remove his skip."", ""Add Elli and her skip to the meeting as well.""]","[0, 1, 2, 3, 5, 6]","[""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
,, Mark me as busy 10 - 12 . ,"[""Can you tell me the weather for tomorrow in Greenville, NC?"", ""Can you tell me when my next block of free time is?"", ""Mark me as busy from 10am to 12pm"", ""Show me as busy until 12PM."", ""Mark me as busy 10AM-12PM"", ""Mark me as busy from 10am to 12pm."", ""Mark me as busy from 10am to 12pm that day.""]","[0, 1, 2, 4, 6, 7, 8]","[""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
" Okay , thank you . ", Let me know if there 's anything else I can help you with . ," My manager , Ray Southerland , will join toward the end of the meeting . ","[""Add my manager, Ray Southerland, to the meeting."", ""Please set up a meeting with Ray Southerland"", ""Please schedule a meeting with Ray Southerland at the end of the day."", ""Invite Ray Southerland to the meeting."", ""Please add my manager, Ray Southerland, to the meeting."", ""Can you add Ray Southerland to the meeting at the end of the day?"", ""i need a meeting with Ray Southerland at the end of the day"", ""I need to meet with Ray Southerland an hour after that."", ""Please add a meeting with Ray Southerland for the day after.""]","[0, 1, 3, 4, 5, 6, 7, 8, 9]","[""28"", ""2"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Make sure the dinner reservation for Thursday night is cancelled , Is this what you want me to cancel ? , No the one for the Thursday after that . ,"[""No, the one the following Thursday.""]",[0],"[""77""]"
